iso3c,year,gdp_percap
CAN,2012.0,42145.0978611317
CAN,1995.0,23354.2721887713
CAN,1999.0,27656.6769217414
CAN,2009.0,38791.0746857483
CAN,1996.0,23904.848934067
CAN,1997.0,25087.9972576757
CAN,2007.0,39441.9677890234
CAN,2008.0,40277.6193121099
COD,2003.0,423.099511861204
COD,1990.0,819.360585337791
COD,1992.0,656.751896634924
COD,2006.0,501.115432983522
COD,2014.0,748.982308546287
COD,2001.0,399.860090908536
COD,2004.0,449.395902630601
COD,2002.0,405.482684363643
COD,1991.0,746.584173048552
COD,1995.0,525.787259650575
COD,1993.0,559.156078293394
COD,1994.0,528.757781099337
COD,2015.0,784.365232149264
COD,2e3,410.975954062147
COD,2013.0,696.873797437847
COD,2005.0,476.73720497787
COD,2007.0,529.221873392872
COD,1997.0,481.591462142181
COD,2008.0,554.888364881265
COD,2009.0,556.728075085533
COD,1996.0,514.759553325746
COD,2010.0,584.260054791406
COD,2012.0,652.38858743842
COD,1999.0,443.292760697629
COD,2011.0,617.147961359502
COD,1998.0,467.479829786406
CAF,2004.0,722.3714073401
CAF,2e3,654.50300806446
CAF,1992.0,563.944820568549
CAF,2002.0,710.228781877403
CAF,1990.0,602.9490287432
CAF,1993.0,564.370832564301
CAF,2003.0,674.198777219502
CAF,2005.0,739.824692909104
CAF,2006.0,785.094271743984
CAF,2001.0,686.658899587385
CAF,1994.0,589.228052761016
