"sch_code","county","pub_priv","district","school","enrollment","complete","start_year"
6001929,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","HORACE MANN ELEMENTARY",90,86,2015
6001713,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","HOWARD ELEMENTARY",43,41,2015
6114011,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","INDEPENDENT STUDY, SOJOURNER TRUTH",,,2015
6118616,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","INTERNATIONAL COMMUNITY",48,47,2015
6001945,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","JOAQUIN MILLER ELEMENTARY",75,74,2015
6001895,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","KAISER ELEMENTARY",47,46,2015
6096523,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","LA ESCUELITA ELEMENTARY",74,71,2015
6001978,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","LAFAYETTE ELEMENTARY",25,24,2015
6001994,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","LAUREL ELEMENTARY",120,118,2015
115592,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","LEARNING WITHOUT LIMITS",72,70,2015
130633,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","LIGHTHOUSE COMMUNITY CHARTER",48,48,2015
6002018,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","LINCOLN ELEMENTARY",120,120,2015
6002182,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","MADISON PARK ACADEMY TK-5",62,59,2015
6002042,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","MANZANITA COMMUNITY",87,85,2015
110247,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","MANZANITA SEED",101,99,2015
6002059,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","MARKHAM ELEMENTARY",92,90,2015
6072235,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","MARTIN LUTHER KING, JR. ELEMENTARY",58,56,2015
6118640,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","MELROSE LEADERSHIP ACADEMY",97,89,2015
6002083,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","MONTCLAIR ELEMENTARY",124,123,2015
6001903,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","NEW HIGHLAND ACADEMY",69,69,2015
6117972,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","NORTH OAKLAND COMMUNITY CHARTER",22,21,2015
6002091,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","PARKER ELEMENTARY",56,56,2015
6002109,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","PERALTA ELEMENTARY",56,52,2015
6002117,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","PIEDMONT AVENUE ELEMENTARY",58,55,2015
6002125,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","PREPARATORY LITERARY ACADEMY OF CULTURAL EXCELLENCE",44,43,2015
110239,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","REACH ACADEMY",81,77,2015
6002141,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","REDWOOD HEIGHTS ELEMENTARY",50,47,2015
110262,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","RISE COMMUNITY",61,59,2015
161259,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ROSES AND CONCRETE COMMUNITY SCHOOL",45,41,2015
110254,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","SANKOFA ACADEMY",57,54,2015
6002174,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","SEQUOIA ELEMENTARY",94,92,2015
100792,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","THINK COLLEGE NOW",46,45,2015
6002216,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","THORNHILL ELEMENTARY",94,92,2015
123711,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","VINCENT ACADEMY",67,67,2015
6002281,"ALAMEDA","PUBLIC","PIEDMONT CITY UNIFIED","BEACH ELEMENTARY",37,35,2015
6002299,"ALAMEDA","PUBLIC","PIEDMONT CITY UNIFIED","HAVENS ELEMENTARY",60,56,2015
6002307,"ALAMEDA","PUBLIC","PIEDMONT CITY UNIFIED","WILDWOOD ELEMENTARY",38,36,2015
6002315,"ALAMEDA","PUBLIC","PLEASANTON UNIFIED","ALISAL ELEMENTARY",101,98,2015
6001366,"ALAMEDA","PUBLIC","PLEASANTON UNIFIED","DONLON ELEMENTARY",123,117,2015
6002323,"ALAMEDA","PUBLIC","PLEASANTON UNIFIED","FAIRLANDS ELEMENTARY",150,142,2015
6114318,"ALAMEDA","PUBLIC","PLEASANTON UNIFIED","HENRY P. MOHR ELEMENTARY",97,96,2015
6001416,"ALAMEDA","PUBLIC","PLEASANTON UNIFIED","LYDIKSEN ELEMENTARY",100,96,2015
6117600,"ALAMEDA","PUBLIC","PLEASANTON UNIFIED","PHOEBE APPERSON HEARST ELEMENTARY",93,90,2015
6002349,"ALAMEDA","PUBLIC","PLEASANTON UNIFIED","VALLEY VIEW ELEMENTARY",125,120,2015
6089361,"ALAMEDA","PUBLIC","PLEASANTON UNIFIED","VINTAGE HILLS ELEMENTARY",119,117,2015
6002356,"ALAMEDA","PUBLIC","PLEASANTON UNIFIED","WALNUT GROVE ELEMENTARY",116,114,2015
6002372,"ALAMEDA","PUBLIC","SAN LEANDRO UNIFIED","GARFIELD ELEMENTARY",67,65,2015
6002398,"ALAMEDA","PUBLIC","SAN LEANDRO UNIFIED","JEFFERSON ELEMENTARY",97,96,2015
6002414,"ALAMEDA","PUBLIC","SAN LEANDRO UNIFIED","MADISON ELEMENTARY",81,80,2015
6002422,"ALAMEDA","PUBLIC","SAN LEANDRO UNIFIED","MCKINLEY ELEMENTARY",102,101,2015
6002430,"ALAMEDA","PUBLIC","SAN LEANDRO UNIFIED","MONROE ELEMENTARY",52,51,2015
6002448,"ALAMEDA","PUBLIC","SAN LEANDRO UNIFIED","ROOSEVELT ELEMENTARY",77,75,2015
6002455,"ALAMEDA","PUBLIC","SAN LEANDRO UNIFIED","WASHINGTON ELEMENTARY",68,65,2015
6002463,"ALAMEDA","PUBLIC","SAN LEANDRO UNIFIED","WILSON ELEMENTARY",105,101,2015
6002505,"ALAMEDA","PUBLIC","SAN LORENZO UNIFIED","BAY ELEMENTARY",82,78,2015
6002521,"ALAMEDA","PUBLIC","SAN LORENZO UNIFIED","COLONIAL ACRES ELEMENTARY",95,92,2015
6002539,"ALAMEDA","PUBLIC","SAN LORENZO UNIFIED","CORVALLIS ELEMENTARY",74,73,2015
6002547,"ALAMEDA","PUBLIC","SAN LORENZO UNIFIED","DAYTON ELEMENTARY",75,74,2015
6002554,"ALAMEDA","PUBLIC","SAN LORENZO UNIFIED","DEL REY ELEMENTARY",79,79,2015
6002604,"ALAMEDA","PUBLIC","SAN LORENZO UNIFIED","GRANT ELEMENTARY",60,59,2015
6002612,"ALAMEDA","PUBLIC","SAN LORENZO UNIFIED","HESPERIAN ELEMENTARY",109,109,2015
6002620,"ALAMEDA","PUBLIC","SAN LORENZO UNIFIED","HILLSIDE ELEMENTARY",86,81,2015
6002653,"ALAMEDA","PUBLIC","SAN LORENZO UNIFIED","LORENZO MANOR ELEMENTARY",104,104,2015
6002711,"ALAMEDA","PUBLIC","SUNOL GLEN UNIFIED","SUNOL GLEN ELEMENTARY",37,33,2015
7082266,"ALAMEDA","PRIVATE","","ACTS CHRISTIAN ACADEMY",30,30,2015
6965909,"ALAMEDA","PRIVATE","","ALL SAINTS CATHOLIC SCHOOL",27,25,2015
6135743,"ALAMEDA","PRIVATE","","AMERICAN INTERNATIONAL MONTESSORI SCHOOL",20,19,2015
6972574,"ALAMEDA","PRIVATE","","ASSUMPTION",29,29,2015
7071632,"ALAMEDA","PRIVATE","","AURORA SCHOOL",23,19,2015
6967475,"ALAMEDA","PRIVATE","","BENTLEY",34,31,2015
6142236,"ALAMEDA","PRIVATE","","BERKELEY ROSE SCHOOL",28,5,2015
6972723,"ALAMEDA","PRIVATE","","BERKWOOD HEDGE",13,8,2015
6989784,"ALAMEDA","PRIVATE","","BLACK PINE CIRCLE SCHOOL",16,15,2015
6972624,"ALAMEDA","PRIVATE","","CALVARY LUTHERAN ELEMENTARY",13,13,2015
