district,sch_code,county,pub_priv,school,enrollment,complete,start_year
NEWARK UNIFIED,6001457,ALAMEDA,PUBLIC,E. L. MUSICK ELEMENTARY,66,66,2015
NEWARK UNIFIED,6001473,ALAMEDA,PUBLIC,H. A. SNOW ELEMENTARY,52,51,2015
NEWARK UNIFIED,6001481,ALAMEDA,PUBLIC,JAMES A. GRAHAM ELEMENTARY,58,57,2015
NEWARK UNIFIED,6001499,ALAMEDA,PUBLIC,JAMES L. BUNKER ELEMENTARY,82,81,2015
NEWARK UNIFIED,6001507,ALAMEDA,PUBLIC,JOHN F. KENNEDY ELEMENTARY,48,47,2015
NEWARK UNIFIED,6001523,ALAMEDA,PUBLIC,LINCOLN ELEMENTARY,85,83,2015
NEWARK UNIFIED,6001531,ALAMEDA,PUBLIC,LOUIS MILANI ELEMENTARY,37,33,2015
OAKLAND UNIFIED,0111476,ALAMEDA,PUBLIC,ACHIEVE ACADEMY,141,133,2015
OAKLAND UNIFIED,6002273,ALAMEDA,PUBLIC,ACORN WOODLAND ELEMENTARY,52,52,2015
OAKLAND UNIFIED,6001630,ALAMEDA,PUBLIC,ALLENDALE ELEMENTARY,81,79,2015
OAKLAND UNIFIED,0114363,ALAMEDA,PUBLIC,AMERICAN INDIAN PUBLIC CHARTER SCHOOL II,42,38,2015
OAKLAND UNIFIED,6118608,ALAMEDA,PUBLIC,ASCEND,48,44,2015
OAKLAND UNIFIED,0109819,ALAMEDA,PUBLIC,ASPIRE BERKLEY MAYNARD ACADEMY,63,61,2015
OAKLAND UNIFIED,0128413,ALAMEDA,PUBLIC,ASPIRE COLLEGE ACADEMY,48,47,2015
OAKLAND UNIFIED,0120188,ALAMEDA,PUBLIC,ASPIRE ERES ACADEMY,22,22,2015
OAKLAND UNIFIED,6117568,ALAMEDA,PUBLIC,ASPIRE MONARCH ACADEMY,66,62,2015
OAKLAND UNIFIED,0130732,ALAMEDA,PUBLIC,ASPIRE TRIUMPH TECHNOLOGY ACADEMY,45,45,2015
OAKLAND UNIFIED,6001655,ALAMEDA,PUBLIC,BELLA VISTA ELEMENTARY,97,93,2015
OAKLAND UNIFIED,6002075,ALAMEDA,PUBLIC,BRIDGES ACADEMY,114,108,2015
OAKLAND UNIFIED,6001663,ALAMEDA,PUBLIC,BROOKFIELD ELEMENTARY,79,77,2015
OAKLAND UNIFIED,6001689,ALAMEDA,PUBLIC,BURCKHALTER ELEMENTARY,55,51,2015
OAKLAND UNIFIED,6001697,ALAMEDA,PUBLIC,CARL B. MUNCK ELEMENTARY,49,47,2015
OAKLAND UNIFIED,0131672,ALAMEDA,PUBLIC,CASTLEMONT PRIMARY ACADEMY,47,43,2015
OAKLAND UNIFIED,6001648,ALAMEDA,PUBLIC,CHABOT ELEMENTARY,89,85,2015
OAKLAND UNIFIED,6001739,ALAMEDA,PUBLIC,CLEVELAND ELEMENTARY,72,68,2015
OAKLAND UNIFIED,0115204,ALAMEDA,PUBLIC,COMMUNITY UNITED ELEMENTARY,72,71,2015
OAKLAND UNIFIED,0114454,ALAMEDA,PUBLIC,CONSERVATORY OF VOCAL INSTRUMENTAL ARTS,21,21,2015
OAKLAND UNIFIED,6001754,ALAMEDA,PUBLIC,CROCKER HIGHLANDS ELEMENTARY,76,72,2015
OAKLAND UNIFIED,0100123,ALAMEDA,PUBLIC,EAST OAKLAND LEADERSHIP ACADEMY,15,13,2015
OAKLAND UNIFIED,0115600,ALAMEDA,PUBLIC,EAST OAKLAND PRIDE ELEMENTARY,71,71,2015
OAKLAND UNIFIED,6001812,ALAMEDA,PUBLIC,EMERSON ELEMENTARY,80,78,2015
OAKLAND UNIFIED,0102988,ALAMEDA,PUBLIC,ENCOMPASS ACADEMY ELEMENTARY,61,61,2015
OAKLAND UNIFIED,6002190,ALAMEDA,PUBLIC,ESPERANZA ELEMENTARY,65,63,2015
OAKLAND UNIFIED,6001820,ALAMEDA,PUBLIC,FRANKLIN ELEMENTARY,138,132,2015
OAKLAND UNIFIED,0112813,ALAMEDA,PUBLIC,FRED T. KOREMATSU DISCOVERY ACADEMY,76,76,2015
OAKLAND UNIFIED,6001838,ALAMEDA,PUBLIC,FRUITVALE ELEMENTARY,72,69,2015
OAKLAND UNIFIED,0115576,ALAMEDA,PUBLIC,FUTURES ELEMENTARY,50,50,2015
OAKLAND UNIFIED,6001846,ALAMEDA,PUBLIC,GARFIELD ELEMENTARY,144,143,2015
OAKLAND UNIFIED,6001853,ALAMEDA,PUBLIC,GLENVIEW ELEMENTARY,91,89,2015
OAKLAND UNIFIED,0115584,ALAMEDA,PUBLIC,GLOBAL FAMILY,94,92,2015
OAKLAND UNIFIED,6001879,ALAMEDA,PUBLIC,GRASS VALLEY ELEMENTARY,65,64,2015
OAKLAND UNIFIED,0115618,ALAMEDA,PUBLIC,GREENLEAF ELEMENTARY,94,93,2015
OAKLAND UNIFIED,6001911,ALAMEDA,PUBLIC,HILLCREST ELEMENTARY,51,50,2015
OAKLAND UNIFIED,6057046,ALAMEDA,PUBLIC,HOOVER ELEMENTARY,53,51,2015
OAKLAND UNIFIED,6001929,ALAMEDA,PUBLIC,HORACE MANN ELEMENTARY,90,86,2015
OAKLAND UNIFIED,6001713,ALAMEDA,PUBLIC,HOWARD ELEMENTARY,43,41,2015
OAKLAND UNIFIED,6114011,ALAMEDA,PUBLIC,"INDEPENDENT STUDY, SOJOURNER TRUTH",,,2015
OAKLAND UNIFIED,6118616,ALAMEDA,PUBLIC,INTERNATIONAL COMMUNITY,48,47,2015
OAKLAND UNIFIED,6001945,ALAMEDA,PUBLIC,JOAQUIN MILLER ELEMENTARY,75,74,2015
OAKLAND UNIFIED,6001895,ALAMEDA,PUBLIC,KAISER ELEMENTARY,47,46,2015
OAKLAND UNIFIED,6096523,ALAMEDA,PUBLIC,LA ESCUELITA ELEMENTARY,74,71,2015
